text,label

hlo,greeting
Hlo,greeting
Hello,greeting
Hii,greeting
Hiii,greeting
hi,greeting
hii,greeting
hiii,greeting
Hi,greeting
Hey,greeting
Good morning,greeting
Good evening,greeting
Namaste,greeting
Namaskaar,greeting
Namaskar,greeting
Pranam,greeting
Ram ram,greeting
Hello sir,greeting
Hello mam,greeting
Jai hind,greeting
Vanakkam,greeting
Sat sri akal,greeting
Assalamu alaikum,greeting
Kaise ho,greeting
How are you,greeting
Kya haal hai,greeting
Sup,greeting
Yo,greeting
Whatsup,greeting
Hello there,greeting
Greetings,greeting

Thanks,thanks
Thanku,thanks
Thank you,thanks
Thank you so much,thanks
Ok thanks,thanks
thik hai,thanks
Thik h thank you,thanks
Dhanyavaad,thanks
Shukriya,thanks
Thank u,thanks
Thnx,thanks
Thanx,thanks
Bahut dhanyavaad,thanks
Bahut shukriya,thanks
Aapka bahut bahut dhanyavad,thanks
Thanks a lot,thanks
Thanks alot,thanks
Many thanks,thanks
Appreciate it,thanks
Thank you very much,thanks

Bye,goodbye
Goodbye,goodbye
See you,goodbye
Ok bye,goodbye
Fir milte hain,goodbye
Alvida,goodbye
Tata,goodbye
See ya,goodbye
Catch you later,goodbye
Take care,goodbye
Bye bye,goodbye
Cya,goodbye
See you soon,goodbye
See you later,goodbye
Chalo bye,goodbye
Phir milenge,goodbye
Baad mein baat karte hain,goodbye

fees,fees
fee,fees
Fees?,fees
What is the fee structure for B.Tech?,fees
How much fee for engineering course?,fees
Btech ka fee kitna hai?,fees
College fees batao?,fees
Annual fees,fees
Yearly fees,fees
Semester fees,fees
Total fees,fees
Fee structure,fees
Fees details,fees
Kitna fees hai,fees
Kitna paisa lagega,fees
Course fee,fees
Engineering fees,fees
Diploma fees,fees
MCA fees,fees
Tuition fees,fees
College ka kharcha,fees
Kharcha kitna aayega,fees
Paise kitne lagenge,fees
Full course fees,fees
4 saal ka fees,fees
Per year fees,fees
Fees structure batao,fees
Kitna dena padega,fees
Admission fees,fees
Registration fees,fees
Kitne paise chahiye,fees
Total cost,fees
How much money,fees
College expenses,fees
Study cost,fees
Padhne ka kharcha,fees
Education cost,fees
fees kitni hai,fees
college ki fees batao,fees
fees batao,fees
kitna rupiya lagega,fees
total fees kya hai,fees
fees kam hogi kya,fees
fees installments mein de sakte hain,fees

course,courses
courses?,courses
course details,courses
Tell me the available courses,courses
What programs do you offer?,courses
Kaun kaun se course available hain?,courses
Courses list?,courses
Course ?,courses
Course,courses
Available courses,courses
Branches,courses
Kya kya courses hain,courses
Which courses,courses
Course options,courses
Streams available,courses
What can I study,courses
Degree programs,courses
B Tech courses,courses
Engineering branches,courses
Diploma courses,courses
Konse branch hain,courses
CSE available hai,courses
IT course hai kya,courses
Mechanical engineering,courses
Civil engineering,courses
ECE hai kya,courses
Computer science,courses
MCA course,courses
Postgraduate courses,courses
UG courses,courses
PG courses,courses
konsa course best hai,courses
konsi branch hai,courses
kya kya padhate ho,courses
list of courses,courses
subject kaunse hain,courses

